성별,시즌,시청률,방송편수,OTT 방영 여부(후행적?),출생년도,방영당시 나이,출연자 평균 연령,MBTI,메기여부,커플 성사 여부,외모(Face score),외모(Fun),외모(Smartness),외모(Confidence),외모(Trustworthiness),외모(Attractiveness),외모(Approachability),계산된_동성_출연자_수,계산된_이성_출연자_수,계산된 방영당시 나이,방영 기간 (일),방송 종료 m일 후 팔로워 (total followers daily),pos_result의 평균,neg_result의 평균,출연자 pos_result 1의 비율,출연자 neg_result 0의 비율,1화,2화,3화,4화,넷플릭스,wavve,엠넷,티빙,쿠팡플레이,JTBC,카카오tv,SBS,디즈니,채널A,E/I,S/N,T/F,J/P,출연자방영후30일평균검색량 대비 프로그램방영후30일평균검색량 비율,출연자방영후14일평균검색량 대비 프로그램방영후14일평균검색량 비율,출연자방영전후30일총검색량 대비 프로그램방영전후30일총검색량 비율,출연자방영전후14일총검색량 대비 프로그램방영전후14일총검색량 비율
여,,,10,True,1994.0,29.0,27.875,,False,True,82,75,73,72,55,92,82,6,6,28.0,56,48054.63306451613,42.54300147295,57.45699852705,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,
남,2.0,,14,True,1998.0,26.0,29.0,INFJ,False,True,88,62,98,95,74,100,84,7,0,25.0,42,280486.0,62.8091699069147,37.1908300930853,0.636871508379888,0.363128491620112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,I,N,F,J,,,,
여,,,10,True,1997.0,26.0,27.875,,False,True,82,77,70,55,52,99,90,6,6,25.0,56,24310.0,54.0690198540688,45.9309801459312,0.5,0.5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,,0.025786021262157885,0.01780046915965227,0.020743616182446776,0.014486243683323975
남,,,13,True,1994.0,29.0,26.36363636,,,False,84,54,71,73,75,100,86,4,6,28.0,56,196448.49695740367,50.5819442868233,49.4180557131767,0.4,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
남,,,13,True,1994.0,29.0,26.36363636,,,False,80,58,58,69,73,93,96,4,6,28.0,56,89399.42225031606,44.6096482127905,55.3903517872095,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
남,,,10,True,1997.0,26.0,27.875,ENFJ,False,True,81,95,78,90,58,75,89,5,7,25.0,56,37008.0,42.9124569147825,57.0875430852175,0.5,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,E,N,F,J,,,,
남,2.0,,14,True,1998.0,26.0,29.0,ESTP,False,True,88,58,97,96,74,97,87,7,0,25.0,42,83565.0,65.8296132629568,34.1703867370432,0.727272727272727,0.272727272727273,0,0,0,0,0,1,0,0,0,0,0,0,0,0,E,S,T,P,,,,
남,,,13,True,2004.0,20.0,20.0,ENFP,False,False,80,58,97,52,75,98,63,4,5,19.0,21,92320.0,73.3908748626709,26.6091251373291,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,E,N,F,P,,,,
남,2.0,,14,True,1990.0,34.0,29.0,ENFJ,False,False,84,65,57,64,72,100,92,7,0,33.0,42,88447.0,46.0539948195219,53.9460051804781,0.5,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,E,N,F,J,0.04087889626980071,0.039612942243725434,0.034076387902882296,0.03353814644137225
남,1.0,,15,True,1992.0,30.0,27.1,,False,False,91,72,64,98,89,99,98,4,5,29.0,98,85225.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,0.0113424264178033,0.015589842494374798,0.010924290518243817,0.014446132308700444
남,3.0,,8,True,1990.0,32.0,27.4,INFJ,False,,82,75,67,54,91,77,71,0,0,31.0,49,38842.3670886076,64.833071502706,35.166928497294,0.709497206703911,0.290502793296089,0,0,1,0,0,0,0,1,0,0,0,0,0,0,I,N,F,J,0.0727310401989225,0.055841293166789124,0.06545454545454546,0.0476091041971184
여,2.0,,20,True,1996.0,27.0,26.2,ESFP,False,True,81,79,59,59,53,92,91,4,5,26.0,105,732121.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,E,S,F,P,0.023774294169399347,0.015163002274450341,0.01903579557210842,0.012226490729914816
여,3.0,,20,True,1993.0,31.0,29.08333333,INFJ,False,False,81,54,75,58,63,77,65,5,6,30.0,112,217915.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,I,N,F,J,0.015746015489982716,0.016464789470924435,0.011621040697262441,0.012149351905591023
남,,1.6,17,True,1990.0,35.0,31.7,ENTJ,False,True,77,58,100,64,64,99,53,4,5,34.0,105,97081.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,E,N,T,J,0.0071059684905537025,0.007819197298350436,0.0067665568994602935,0.0073009520344430295
여,4.0,,8,True,1997.0,26.0,26.6,,False,,84,85,77,83,54,97,85,4,5,25.0,56,59374.0,50.7260262966156,49.2739737033844,0.5,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,0.09641873278236916,0.10104002902406578,0.08142544296237308,0.0835078273008276
여,3.0,,20,True,1998.0,26.0,29.08333333,ESTJ,False,True,84,88,66,56,66,79,98,5,6,25.0,112,518010.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,E,S,T,J,0.03776483389873903,0.04037543914844529,0.032075961924557715,0.03563551944283227
남,1.0,,11,True,2002.0,21.0,29.5,,False,True,82,61,88,95,66,100,74,7,0,20.0,42,178003.0,60.2559585878182,39.7440414121818,0.583333333333333,0.416666666666667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,0.009382155666781494,0.00515750463248919,0.008117680061715407,0.004323064975407714
남,1.0,,11,True,1992.0,31.0,29.5,,True,True,80,69,60,94,71,68,90,7,0,30.0,42,87915.0,60.2483839567365,39.7516160432635,0.586206896551724,0.413793103448276,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
남,,0.8,4,False,1991.0,32.0,28.75,,False,True,82,60,52,51,67,97,95,3,4,31.0,21,16553.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,
여,4.0,,15,True,1994.0,30.0,30.5,ENFJ,False,False,79,57,61,74,50,90,67,3,4,29.0,100,221277.0,69.7053670883179,30.2946329116821,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,E,N,F,J,0.14193837578686833,0.16404582325316636,0.12364525508855406,0.14009890728182653
여,,1.6,17,True,1999.0,26.0,31.7,ESFJ,False,False,77,73,57,69,71,52,53,4,5,25.0,105,100648.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,E,S,F,J,0.0013074459044257042,0.0007403558903753735,0.0012449966696339088,0.0006912861560851374
남,3.0,,20,True,1994.0,30.0,29.08333333,ENFP,False,False,84,86,83,85,71,89,86,5,6,29.0,112,338096.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,E,N,F,P,0.02083466683735518,0.020292590844738084,0.015376620922597256,0.014973882762623332
남,2.0,,14,True,1995.0,29.0,29.0,ISFP,False,True,84,51,76,96,69,100,93,7,0,28.0,42,288644.0,65.2169953530528,34.7830046469472,0.673728813559322,0.326271186440678,0,1,0,0,0,1,0,0,0,0,0,0,0,0,I,S,F,P,,,,
남,,,13,True,2004.0,20.0,20.0,ESTP,False,True,87,81,88,94,75,100,84,4,5,19.0,21,177941.0,46.1319248492901,53.8680751507099,0.461538461538462,0.538461538461538,0,0,0,0,1,0,0,0,0,0,0,0,0,0,E,S,T,P,,,,
여,2.0,,20,True,2001.0,22.0,26.2,ESTP,False,False,80,70,77,71,51,85,68,4,5,21.0,105,235043.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,E,S,T,P,0.0169559305766616,0.014278493808440738,0.013544700695538684,0.011391347920494404
